"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1628","test_click_account_link[Firefox]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","3294","test_counters_increase[Firefox]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","1191","test_recovery_password_flow[Firefox]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","1868","test_create_order[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","2171","test_click_order_history[Firefox]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","3376","test_counters_increase[Chrome]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","537","test_recovery_link_exists[Chrome]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","835","test_click_feed[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","1510","test_ingredient_modal_opens[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","963","test_counter_increases[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","973","test_password_toggle_button[Firefox]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","884","test_order_modal_opens[Firefox]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","1378","test_click_account_link[Chrome]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","722","test_order_modal_opens[Chrome]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","2473","test_user_order_in_feed[Chrome]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","3067","test_user_order_in_feed[Firefox]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","952","test_click_feed[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","687","test_counter_increases[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","5487","test_logout[Chrome]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","6388","test_logout[Firefox]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","1836","test_click_order_history[Chrome]","tests","2026-06-22","passed","2026-06-22","TestAccount","test_02_account","",""
"","755","test_password_toggle_button[Chrome]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","748","test_ingredient_modal_opens[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","1628","test_ingredient_modal_closes[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","983","test_recovery_password_flow[Chrome]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","2375","test_create_order[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","685","test_recovery_link_exists[Firefox]","tests","2026-06-22","passed","2026-06-22","TestRecoveryPassword","test_01_recovery_password","",""
"","873","test_click_constructor[Chrome]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","1082","test_click_constructor[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","3183","test_order_appears_in_work[Firefox]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
"","1917","test_ingredient_modal_closes[Firefox]","tests","2026-06-22","passed","2026-06-22","TestMain","test_03_main","",""
"","3034","test_order_appears_in_work[Chrome]","tests","2026-06-22","passed","2026-06-22","TestOrder","test_04_order","",""
